aspect_ratio,shoulder_hip_gap_norm,hip_knee_gap_norm,knee_ankle_gap_norm,shoulder_ankle_gap_norm,head_hip_gap_norm,shoulder_width_norm,hip_width_norm,mean_keypoint_conf,visible_keypoint_frac,label,source_image
0.26237490383460527,0.3110824733901834,0.18935574866179983,0.18597332363834615,0.6864115456903294,0.4361932461866567,0.42528579205225897,0.3286237442470428,1.2941176470588236,0.6470588235294118,0,coco_val2017/000000395801.jpg
0.35322646913462624,0.32770827502843275,0.031377464436492045,0.26844270836434664,0.6275284478292714,0.45495611501795286,0.4741194022302574,0.25023389890510067,1.8823529411764706,0.9411764705882353,0,coco_val2017/000000133969.jpg
0.3373340876452413,0.22824317855433293,0.26881718090430334,0.28403324774794375,0.78109360720658,0.27896557726619997,0.46360751328757926,0.22173486764022904,1.4705882352941178,0.8235294117647058,0,coco_val2017/000000121242.jpg
0.4512911970675803,0.3010996573745864,0.017370541121216363,0.3300526148313143,0.648522813327117,0.4111184290045116,0.29036965778096047,0.0,0.9411764705882353,0.47058823529411764,0,coco_val2017/000000119445.jpg
0.561134688078561,0.3479426693216826,0.16965846728036293,0.19553751191628593,0.7131386485183315,0.4945948830823706,0.5210720681127955,0.3524955232104321,1.8823529411764706,0.9411764705882353,0,coco_val2017/000000156292.jpg
0.41333331700788883,0.28818041901702046,0.23369853352613676,0.1720477372321759,0.6939266897753331,0.40144553648063414,0.2684535129658924,0.10645539697492135,1.6470588235294117,0.8235294117647058,0,coco_val2017/000000153669.jpg
1.6928710152074942,0.18329029134965974,0.04005088777089998,0.2802625295858399,0.42350193316459966,0.3394521382989818,0.10154176293812729,0.06019749798494656,1.8823529411764706,0.9411764705882353,1,simuletic/laying41.png
0.27213642099726115,0.29979035109237445,0.21668188243981762,0.2226185629060525,0.7390907964382446,0.39972131110228787,0.29040321906160266,0.14520160953080133,1.2941176470588236,0.7647058823529411,0,coco_val2017/000000391290.jpg
0.5093521053800044,0.62632280026641,0.0,0.0,0.0,0.9218252793606153,0.8796651108730011,0.510796723752792,0.8235294117647058,0.5294117647058824,0,coco_val2017/000000189775.jpg
0.9274003913871945,0.4735098911749192,0.0,0.0,0.0,0.6220404738386678,0.5561280875496128,0.39478247466378946,0.8235294117647058,0.4117647058823529,0,coco_val2017/000000462031.jpg
1.748713291920882,0.2942630514353378,0.14905442470479513,0.27044525466644825,0.41565388139699094,0.5118468179110064,0.0688252932001386,0.014568511142344587,1.6470588235294117,0.8235294117647058,1,simuletic/laying104.png
0.15976241115489237,0.18103509512328614,0.3229282010354294,0.25442815298281385,0.7583914491415295,0.0,0.0,0.0,0.7058823529411765,0.35294117647058826,0,coco_val2017/000000157767.jpg
